districtID,district,ln_gdppc2010,ln_gdppc2018,g
7406,Bombana,9.7703743,10.11374,0.34336567
7407,Wakatobi,9.720295,10.31283,0.59253502
7408,Kolaka Utara,10.16624,10.60603,0.43979073
7409,Buton Utara,9.9865685,10.41811,0.43154144
7410,Konawe Utara,10.34439,10.66661,0.32221985
7411,Kolaka Timur,10.00125,10.08037,0.079119682
7412,Konawe Kepulauan,10.10331,10.27981,0.17650032
7413,Muna Barat,9.813261,9.9715815,0.15832043
7414,Buton Tengah,9.5892353,9.7488155,0.15958023
7415,Buton Selatan,9.9499989,10.10996,0.15996075
7471,Kota Kendari,10.24333,10.62814,0.38481045
7472,Kota Baubau,10.07979,10.52209,0.44229984
7501,Boalemo,9.6056767,9.9351463,0.32946968
7502,Gorontalo,9.5101929,10.01404,0.50384712
7503,Pohuwato,9.8819962,10.2414,0.35940361
7504,Bone Bolango,9.3980865,9.8531981,0.4551115
7505,Gorontalo Utara,9.3883848,9.8783092,0.48992443
7571,Kota Gorontalo,9.7864723,10.21767,0.43119812
7601,Majene,9.5078392,9.8897228,0.38188362
7602,Polewali Mandar,9.4310083,9.9140501,0.48304176
7603,Mamasa,9.1412249,9.4949646,0.35373974
7604,Mamuju,9.4219913,10.22771,0.80571842
7605,Pasangkayu,10.14218,10.6338,0.49161911
7606,Mamuju Tengah,9.3061504,9.6932487,0.38709831
8101,Maluku Tenggara Barat,9.134285,9.5574608,0.42317581
8102,Maluku Tenggara,9.3957911,9.8370008,0.44120979
8103,Maluku Tengah,9.1827888,9.6073666,0.42457771
8104,Buru,9.0759201,9.2650146,0.18909454
8105,Kepulauan Aru,9.6761236,10.02857,0.35244656
8106,Seram Bagian Barat,8.8827105,9.2962646,0.41355419
8107,Seram Bagian Timur,9.4916773,9.7376547,0.2459774
8108,Maluku Barat Daya,9.0538969,9.5319414,0.47804451
8109,Buru Selatan,9.2035418,9.5126934,0.30915165
8171,Kota Ambon,9.7819223,9.9657698,0.18384743
8172,Kota Tual,9.6181335,9.8658972,0.24776363
8201,Halmahera Barat,9.1468897,9.4273462,0.28045654
8202,Halmahera Tengah,10.00964,10.17964,0.17000008
8203,Kepulauan Sula,8.9175844,9.6359997,0.71841526
8204,Halmahera Selatan,9.3374863,9.8397522,0.50226593
8205,Halmahera Utara,9.6049528,9.8629398,0.25798702
8206,Halmahera Timur,9.9650993,10.06626,0.101161
