hc1_2010,hc1_2011,hc1_2012,hc1_2013,hc1_2014,hc1_2015,hc1_2016,hc1_2017,hc1_2018,id
2.0861077,2.1030738,2.1182706,2.1586866,2.2257636,2.2277675,2.2297735,2.2600796,2.2621145,1101
1.8193877,1.8541012,1.9048438,1.934212,1.960501,1.964033,1.9979068,2.0250614,2.063699,1102
1.964033,1.9693431,1.9746674,1.9800062,1.981789,2.015969,2.0581346,2.116365,2.12591,1103
2.12591,2.1393456,2.1625757,2.1645229,2.2018547,2.3135889,2.3156722,2.3790472,2.3811891,1104
1.8843821,1.892881,1.8997077,1.9255276,1.9429356,1.946436,1.981789,2.0177844,2.0268848,1105
2.2621145,2.274363,2.2866776,2.2990592,2.3115077,2.3833332,2.3854792,2.3876271,2.3897769,1106
1.9889363,2.0015063,2.0123436,2.0232396,2.0861077,2.1431999,2.1880264,2.2560151,2.2641513,1107
2.3366075,2.338711,2.340817,2.3429246,2.3747685,2.4397607,2.4419575,2.4441564,2.4907904,1108
2.0433693,2.0470505,2.0692785,2.082356,2.101182,2.1959176,2.1978948,2.1998739,2.2097957,1109
2.1182706,2.1393456,2.1489944,2.1645229,2.2177653,2.2764108,2.2784605,2.2805121,2.2825654,1110
1.886079,1.944685,1.9979068,2.0232396,2.0655572,2.0674169,2.0711417,2.0730066,2.074873,1111
1.8607879,1.9622661,1.9693431,1.9979068,2.0341947,2.0360262,2.0415308,2.0767412,2.0786114,1112
1.6538403,1.7534758,1.8574415,1.8776106,1.8843821,1.8877771,1.8945854,1.944685,1.9979068,1113
1.9835734,1.9889363,1.9925196,1.9979068,2.0015063,2.0452089,2.0936313,2.1431999,2.1880264,1114
1.8979987,1.932472,2.0051122,2.0141556,2.0415308,2.0955164,2.0992916,2.101182,2.1030738,1115
1.9065589,1.9359536,1.9889363,1.9997057,2.0323648,2.0341947,2.0452089,2.0786114,2.1239977,1116
2.0341947,2.0955164,2.1742854,2.2337906,2.2479079,2.3345053,2.3366075,2.3619795,2.3641062,1117
2.0305364,2.0360262,2.0415308,2.0452089,2.1106586,2.1393456,2.1412718,2.21577,2.2197621,1118
2.9209239,2.9446795,2.9632895,2.9954665,3.0443883,3.0471296,3.0996833,3.105268,3.1080639,1171
2.4773762,2.4863107,2.4952776,2.5065317,2.5383139,2.5428867,2.57513,2.6195433,2.6839781,1172
2.5337489,2.5451765,2.5566556,2.5658762,2.5681863,2.5704989,2.621902,2.6671219,2.7058065,1173
2.4596031,2.4773762,2.4952776,2.5428867,2.5474682,2.5520577,2.5797694,2.6623256,2.6647227,1174
1.7629702,1.7805103,1.799844,1.8193877,1.8391435,1.8407996,1.8574415,1.8979987,1.944685,1175
1.5114962,1.5169474,1.5224183,1.5279088,1.5334191,1.5347999,1.557061,1.5584629,1.5598662,1201
1.9237953,1.944685,1.9587373,1.9675714,1.9711162,1.9871471,2.0341947,2.0544331,2.074873,1202
2.0305364,2.0396945,2.0470505,2.0618424,2.0955164,2.1049676,2.120178,2.1821268,2.1880264,1203
1.9394414,1.9481885,1.9552146,1.964033,1.9728911,2.0581346,2.0599875,2.1068628,2.1087599,1204
2.1567447,2.1684227,2.2058215,2.2560151,2.2580464,2.3115077,2.3135889,2.3429246,2.3833332,1205
2.3876271,2.3962381,2.40488,2.4135532,2.4222577,2.4773762,2.4796069,2.4818397,2.5360303,1206
2.0861077,2.1144612,2.1412718,2.1684227,2.1840916,2.1978948,2.2038372,2.2499321,2.2560151,1207
1.9764454,2.0015063,2.0177844,2.0341947,2.0507386,2.1144612,2.116365,2.1412718,2.1431999,1208
2.1125591,2.116365,2.120178,2.1239977,2.1880264,2.2078078,2.2197621,2.2378151,2.2846208,1209
2.1087599,2.1316578,2.1567447,2.1645229,2.166472,2.186058,2.1880264,2.2277675,2.2784605,1210
2.2237613,2.2539854,2.2825654,2.2990592,2.3156722,2.3513744,2.3534915,2.3598545,2.3619795,1211
2.2866776,2.2887366,2.2907975,2.3240235,2.3429246,2.3471456,2.3897769,2.3940823,2.4419575,1212
