hc2_2010,hc2_2011,hc2_2012,hc2_2013,hc2_2014,hc2_2015,hc2_2016,hc2_2017,hc2_2018,id
2.4045916,2.3612709,2.4462347,2.587986,2.5897465,2.5915082,2.5950348,2.6305685,2.6323578,1278
2.1215353,2.1236792,2.1258249,2.1279733,2.1322761,2.1495748,2.2045424,2.2427213,2.3023951,1301
2.3948965,2.4511812,2.5062559,2.5687003,2.5774486,2.5792017,2.5809562,2.5827119,2.5844688,1302
2.3517506,2.3852406,2.4192076,2.4412985,2.4487066,2.4511812,2.4536581,2.4586194,2.5189447,1303
2.3351824,2.3375421,2.3612709,2.3852406,2.3900638,2.3924787,2.4339123,2.4885993,2.5011985,1304
2.4290009,2.4536581,2.4660804,2.503726,2.5087886,2.5419462,2.5809562,2.5844688,2.6377335,1305
2.2269211,2.2404573,2.260916,2.2815614,2.2861748,2.2884848,2.3140519,2.363657,2.4339123,1306
2.4487066,2.4785655,2.5368166,2.5756965,2.5774486,2.5897465,2.5915082,2.6287804,2.6829581,1307
2.402164,2.4094536,2.438834,2.4536581,2.4561377,2.5368166,2.5393801,2.54966,2.5522363,1308
2.3756237,2.402164,2.4290009,2.4586194,2.4635909,2.4660804,2.4685724,2.471067,2.4735639,1309
2.402164,2.4094536,2.4192076,2.5087886,2.5522363,2.5548155,2.5573971,2.5599813,2.5862267,1310
2.4167652,2.5164018,2.5291417,2.5445149,2.5573971,2.5652092,2.6003342,2.602103,2.603873,1311
2.3328249,2.3708296,2.4070213,2.4339123,2.4412985,2.5164018,2.5189447,2.5214901,2.5240381,1312
3.0015235,3.0384879,3.0863833,3.1159062,3.124393,3.1329029,3.1909542,3.2083602,3.2105427,1371
2.9893022,2.9933705,3.0035653,3.0800936,3.0863833,3.0905838,3.0947897,3.1286449,3.1414361,1372
2.7326722,2.7494476,2.8003936,2.8252587,2.8639448,2.8658929,2.9170127,2.9189968,2.9209824,1373
2.9329243,2.9710636,3.0056083,3.0405548,3.0947897,3.158572,3.2302516,3.2324488,3.2346475,1374
3.0343585,3.0467639,3.0592201,3.0675523,3.0779998,3.0947897,3.1350338,3.204,3.2061794,1375
2.8406701,2.8697934,2.899215,2.9189968,2.9249578,2.9913356,2.9933705,3.0240591,3.0261161,1376
2.7363913,2.7908885,2.8003936,2.9090891,2.9209824,2.9249578,2.9509289,2.9529362,3.0056083,1377
