id,id_1,name_1,id_2,name_2,id_3,district,depecprov,povindex,pcinc,pcincppp,pcincmp,malkids,lif40,nosafh20,population,boyg1_5,girlg1_5,kids1_5,schoolcnt,schlpkid,schlppop,ad_illit,ad_ilgt50,lon,lat
1,0, ,8,Dhaualagiri,60,Baglung,  27.010000000000002,  27.329999999999998,354,573,25613,  42.899999999999999,   8.520000000000000,  11.119999999999999,250065,29144,31123,60267,554,   9.192399999999999,   2.215424000000000,  34.460000000000001,0,  83.252443600000007,  28.347313199999999
2,0, ,8,Dhaualagiri,61,Mustang,  31.510000000000002,  31.160000000000000,1189,1922,85957,  54.700000000000003,  12.020000000000000,   8.320000000000000,11585,784,806,1590,70,  44.025199999999998,   6.042296100000000,  38.649999999999999,0,  83.859901600000001,  28.981165099999998
3,0, ,8,Dhaualagiri,62,Myagdi,  30.030000000000001,  28.539999999999999,636,1028,45986,  47.500000000000000,   7.270000000000000,  12.560000000000000,109598,9035,9033,18068,273,  15.109600000000000,   2.490921400000000,  34.840000000000003,0,  83.461955000000003,  28.552960100000000
4,0, ,8,Dhaualagiri,63,Parbat,  21.840000000000000,  24.620000000000001,627,1013,45289,  26.199999999999999,   6.110000000000000,  17.469999999999999,145657,11202,11280,22482,369,  16.413100000000000,   2.533348900000000,  32.430000000000000,0,  83.680892600000007,  28.211019100000001
5,1,Central,1,Bagmati,1,Bhaktapur,  22.579999999999998,  19.430000000000000,854,1379,61686,  26.899999999999999,   3.310000000000000,  18.250000000000000,296705,16533,15271,31804,355,  11.162100000000001,   1.196474600000000,  21.870000000000001,0,  85.442905900000000,  27.677352899999999
6,1,Central,1,Bagmati,2,Dhading,  20.850000000000001,  33.380000000000003,607,982,43899,  26.300000000000001,   7.680000000000000,  15.390000000000001,333978,29829,30285,60114,634,  10.546600000000000,   1.898328600000000,  46.740000000000002,0,  84.960119899999995,  27.950420200000000
7,1,Central,1,Bagmati,3,Kathmandu,  31.000000000000000,  22.449999999999999,1710,2764,123601,  32.000000000000000,   4.390000000000000,  30.000000000000000,1688131,89918,82314,172232,1370,   7.954400000000000,   0.811548400000000,  15.960000000000001,0,  85.349621099999993,  27.727936000000000
8,1,Central,1,Bagmati,4,Kavrepalanchok,  21.140000000000001,  27.340000000000000,866,1399,62559,  21.699999999999999,   6.230000000000000,  20.579999999999998,375040,30818,31600,62418,696,  11.150600000000001,   1.855802000000000,  37.229999999999997,0,  85.621936800000000,  27.535817200000000
9,1,Central,1,Bagmati,5,Lalitpur,  23.340000000000000,  19.180000000000000,1172,1894,84715,  16.199999999999999,   4.030000000000000,  30.480000000000000,453466,29250,27764,57014,488,   8.559300000000000,   1.076155700000000,  20.320000000000000,0,  85.344826400000002,  27.538151700000000
10,1,Central,1,Bagmati,6,Nuwakot,  24.710000000000001,  35.659999999999997,672,1086,48586,  37.100000000000001,   6.770000000000000,  12.320000000000000,275344,22362,23231,45593,521,  11.427199999999999,   1.892178500000000,  49.409999999999997,0,  85.237696999999997,  27.914868500000001
11,1,Central,1,Bagmati,7,Rasuwa,  28.570000000000000,  42.240000000000002,941,1520,67973,  45.000000000000000,   8.699999999999999,  12.130000000000001,42125,3802,4116,7918,113,  14.271300000000000,   2.682492600000000,  58.680000000000000,1,  85.414699499999998,  28.184740800000000
12,1,Central,1,Bagmati,8,Sindhupalchok,  32.930000000000000,  38.030000000000001,687,1110,49657,  46.600000000000001,   8.410000000000000,  19.260000000000002,285652,27540,29370,56910,556,   9.769800000000000,   1.946424300000000,  50.490000000000002,1,  85.741884499999998,  27.914560500000000
13,1,Central,2,Janakpur,9,Dhanusa,  27.739999999999998,  41.719999999999999,580,938,41951,  43.600000000000001,   7.310000000000000,  11.880000000000001,752253,59737,64119,123856,397,   3.205300000000000,   0.527748000000000,  58.109999999999999,1,  86.036261600000003,  26.828468999999998
14,1,Central,2,Janakpur,10,Dolakha,  33.070000000000000,  35.700000000000003,571,922,41256,  44.000000000000000,   7.610000000000000,  22.149999999999999,184931,16590,17730,34320,431,  12.558299999999999,   2.330599000000000,  46.399999999999999,0,  86.201007099999998,  27.785404300000000
15,1,Central,2,Janakpur,11,Mahottari,  26.590000000000000,  44.750000000000000,421,681,30436,  43.600000000000001,   7.550000000000000,   9.580000000000000,621023,66358,67729,134087,415,   3.095000000000000,   0.668252200000000,  62.960000000000001,1,  85.822222699999998,  26.878918500000001
16,1,Central,2,Janakpur,12,Ramechhap,  32.399999999999999,  36.350000000000001,588,951,42524,  44.399999999999999,   5.920000000000000,  20.390000000000001,201202,17772,18501,36273,492,  13.563800000000001,   2.445303700000000,  47.899999999999999,0,  86.179696699999994,  27.513327499999999
17,1,Central,2,Janakpur,13,Sarlahi,  24.359999999999999,  43.859999999999999,501,809,36177,  37.700000000000003,   7.040000000000000,  11.010000000000000,765959,83105,81757,164862,745,   4.518900000000000,   0.972636900000000,  62.000000000000000,1,  85.567458599999995,  26.985880200000000
18,1,Central,2,Janakpur,14,Sindhuli,  35.909999999999997,  37.950000000000003,509,822,36767,  36.299999999999997,   8.560000000000000,  35.520000000000003,292988,31951,33150,65101,581,   8.924600000000000,   1.983016400000000,  48.920000000000002,0,  85.946598800000004,  27.201107600000000
19,1,Central,3,Narayani,15,Bara,  21.780000000000001,  40.090000000000003,916,1480,66175,  39.600000000000001,   6.240000000000000,   3.960000000000000,680094,83413,80652,164065,418,   2.547800000000000,   0.614620900000000,  56.750000000000000,1,  85.072866899999994,  27.107674500000002
