POLY_ID,GDLcode,country,iso_code,region,hdi90a,hdi00a,gr_hdi9000,ln_hdi90,ln_gh_9000,hdi00b,hdi10b,gr_hdi0010,ln_hdi00,ln_gh_0010,hdi10c,hdi18c,gr_hdi1018,ln_hdi10,ln_gh_1018,gnic90a,gnic00a,g_gnic9000,ln_gnic90,ln_gg_9000,gnic00b,gnic10b,g_gnic0010,ln_gnic00,ln_gg_0010,gnic10c,gnic18c,g_gnic1018,ln_gnic10,ln_gg_1018,COORD_X,COORD_Y
1,ARGr101,Argentina,ARG,City of Buenos Aires,      75.200000000000003,      81.899999999999991,       1.089095744680851,       4.320151230955794,       0.085347759903229,      81.899999999999991,      86.000000000000000,       1.050061050061050,       4.405498990859024,       0.048848305394484,      86.000000000000000,      86.700000000000003,       1.008139534883721,       4.454347296253507,       0.008106587532988,      12.614032999999999,      16.940821000000000,       1.343013848148328,       2.534809924378833,       0.294916228841869,      16.940821000000000,      21.257777999999998,       1.254825725388398,       2.829726153220702,       0.226996698708865,      21.257777999999998,      20.469823000000002,       0.962933331978535,       3.056722851929567,      -0.037771099093948,     -58.444435853217577,     -34.617677990544621
2,ARGr102,Argentina,ARG,Rest of Buenos Aires,      69.799999999999997,      76.000000000000000,       1.088825214899714,       4.245634009768327,       0.085099330518004,      76.000000000000000,      80.700000000000003,       1.061842105263158,       4.330733340286331,       0.060005234989572,      80.700000000000003,      82.000000000000000,       1.016109045848823,       4.390738575275903,       0.015980671988350,      10.451079000000000,      13.953723999999999,       1.335146734609890,       2.346705226669052,       0.289041199377620,      13.953723999999999,      17.430492999999998,       1.249164237446577,       2.635746426046672,       0.222474717652095,      17.430492999999998,      16.797037000000000,       0.963658170770041,       2.858221143698768,      -0.037018641892023,     -60.565978464709751,     -36.683526623739084
3,ARGr103,Argentina,ARG,"Catamarca, La Rioja, San Juan",      70.799999999999997,      77.100000000000009,       1.088983050847458,       4.259859000699674,       0.085244279869610,      77.100000000000009,      81.799999999999997,       1.060959792477302,       4.345103280569284,       0.059173963039417,      81.799999999999997,      83.099999999999994,       1.015892420537897,       4.404277243608702,       0.015767458252701,      10.979896000000000,      14.682392000000000,       1.337206836931789,       2.396065964269678,       0.290582988422250,      14.682392000000000,      18.362494000000002,       1.250647305970308,       2.686648952691928,       0.223661262055121,      18.362494000000002,      17.691673999999999,       0.963467925435401,       2.910310214747049,      -0.037216081318153,     -67.639195301620802,     -29.221990792860062
4,ARGr104,Argentina,ARG,Cordoba,      71.099999999999994,      77.400000000000006,       1.088607594936709,       4.264087336809195,       0.084899443786486,      77.400000000000006,      82.199999999999989,       1.062015503875969,       4.348986780595681,       0.060168521466452,      82.199999999999989,      83.399999999999991,       1.014598540145985,       4.409155302062134,       0.014493007302567,      11.447323000000001,      15.327382000000000,       1.338949027646027,       2.437755903538335,       0.291884998505755,      15.327382000000000,      19.188371000000000,       1.251901401035089,       2.729640902044090,       0.224663516409851,      19.188371000000000,      18.484297000000002,       0.963307255212024,       2.954304418453941,      -0.037382857624349,     -63.799547769590383,     -32.141218097519612
5,ARGr105,Argentina,ARG,"Corrientes, Entre Rios, Misiones",      69.099999999999994,      75.299999999999997,       1.089725036179450,       4.235554730773624,       0.085925404032224,      75.299999999999997,      80.000000000000000,       1.062416998671979,       4.321480134805848,       0.060546499868034,      80.000000000000000,      81.200000000000003,       1.015000000000000,       4.382026634673881,       0.014888612493751,      10.559694000000000,      14.103294999999999,       1.335578000650397,       2.357044300585539,       0.289364157441072,      14.103294999999999,      17.621710000000000,       1.249474679498656,       2.646408458026611,       0.222723206580664,      17.621710000000000,      16.980602999999999,       0.963618343509228,       2.869131664607275,      -0.037059971987132,     -57.904911337446364,     -29.817385196199833
6,ARGr106,Argentina,ARG,"Chaco, Formosa",      68.600000000000009,      74.700000000000003,       1.088921282798834,       4.228292534731840,       0.085187557406932,      74.700000000000003,      79.400000000000006,       1.062918340026774,       4.313480092138772,       0.061018276114319,      79.400000000000006,      80.600000000000009,       1.015113350125945,       4.374498368253090,       0.015000281259493,       8.641700000000000,      11.469635000000000,       1.327242903595358,       2.156599322720659,       0.283103785769560,      11.469635000000000,      14.262129000000000,       1.243468427722417,       2.439703108490219,       0.217904594089712,      14.262129000000000,      13.754272000000000,       0.964391220974092,       2.657607702579930,      -0.036258235812685,     -60.410412874259279,     -25.748286894284952
7,ARGr107,Argentina,ARG,"Chubut, Neuquen, Rio Negro, Santa Cruz, Tierra del Fuego",      71.299999999999997,      77.600000000000009,       1.088359046283310,       4.266896327420250,       0.084671099768923,      77.600000000000009,      82.399999999999991,       1.061855670103093,       4.351567427189173,       0.060018009726253,      82.399999999999991,      83.700000000000003,       1.015776699029126,       4.411585436915426,       0.015653540580004,      12.580422000000000,      16.894272999999998,       1.342901931270668,       2.532141796019679,       0.294832892738345,      16.894272999999998,      21.198008000000002,       1.254745202708634,       2.826974688758024,       0.226932526241062,      21.198008000000002,      20.412486999999999,       0.962943640742092,       3.053907214999086,      -0.037760393567371,     -68.825411849291740,     -44.433267915950992
8,ARGr108,Argentina,ARG,"Jujuy, Salta",      70.099999999999994,      76.400000000000006,       1.089871611982882,       4.249922794040544,       0.086059902131931,      76.400000000000006,      81.100000000000009,       1.061518324607330,       4.335982696172475,       0.059700264948892,      81.100000000000009,      82.199999999999989,       1.013563501849568,       4.395682961121367,       0.013472340940767,       9.446543999999999,      12.572777000000000,       1.330939336121231,       2.245648960330159,       0.285884960704282,      12.572777000000000,      15.667355000000001,       1.246133213052296,       2.531533921034441,       0.220045327212556,      15.667355000000001,      15.104079000000000,       0.964047792368271,       2.751579248246996,      -0.036614408454988,     -65.058951329219738,     -24.047852553080109
9,ARGr109,Argentina,ARG,"La Pampa, San Luis, Mendoza",      71.399999999999991,      77.700000000000003,       1.088235294117647,       4.268297869345538,       0.084557388028063,      77.700000000000003,      82.500000000000000,       1.061776061776062,       4.352855257373602,       0.059943035967033,      82.500000000000000,      83.799999999999997,       1.015757575757576,       4.412798293340635,       0.015634714147402,      12.318842999999999,      16.532146000000001,       1.342020999861757,       2.511130041357672,       0.294176686610186,      16.532146000000001,      20.733156000000001,       1.254111595675480,       2.805306727967857,       0.226427430017927,      20.733156000000001,      19.966538000000000,       0.963024539052328,       3.031734157985784,      -0.037676385626709,     -66.823286972207811,     -35.447946171713838
10,ARGr110,Argentina,ARG,Santa Fe,      72.099999999999994,      78.500000000000000,       1.088765603328710,       4.278054044290903,       0.085044580497460,      78.500000000000000,      83.299999999999997,       1.061146496815287,       4.363098624788363,       0.059349924384434,      83.299999999999997,      84.000000000000000,       1.008403361344538,       4.422448549172797,       0.008368249670517,      11.516252000000000,      15.422566000000000,       1.339200114759559,       2.443759255108633,       0.292072506445692,      15.422566000000000,      19.310317999999999,       1.252082046528444,       2.735831761554325,       0.224807802901717,      19.310317999999999,      18.601323000000001,       0.963284136491175,       2.960639564456042,      -0.037406857234178,     -60.950708665460709,     -30.703538142948684
